date,card,source_mode,application,sample,latency_us,latency_ms
2026-06-05,Elgato 4K Pro,1080p144,Elgato 4K Capture Utility,85,41963,41.963
2026-06-05,Elgato 4K Pro,1080p144,Elgato 4K Capture Utility,86,41135,41.135
2026-06-05,Elgato 4K Pro,1080p144,Elgato 4K Capture Utility,87,48551,48.551
2026-06-05,Elgato 4K Pro,1080p144,Elgato 4K Capture Utility,88,49236,49.236
2026-06-05,Elgato 4K Pro,1080p144,Elgato 4K Capture Utility,89,42036,42.036
2026-06-05,Elgato 4K Pro,1080p144,Elgato 4K Capture Utility,90,44483,44.483
2026-06-05,Elgato 4K Pro,1080p144,Elgato 4K Capture Utility,91,46680,46.680
2026-06-05,Elgato 4K Pro,1080p144,Elgato 4K Capture Utility,92,44352,44.352
2026-06-05,Elgato 4K Pro,1080p144,Elgato 4K Capture Utility,93,48246,48.246
2026-06-05,Elgato 4K Pro,1080p144,Elgato 4K Capture Utility,94,41021,41.021
2026-06-05,Elgato 4K Pro,1080p144,Elgato 4K Capture Utility,95,43950,43.950
2026-06-05,Elgato 4K Pro,1080p144,Elgato 4K Capture Utility,96,46752,46.752
2026-06-05,Elgato 4K Pro,1080p144,Elgato 4K Capture Utility,97,48929,48.929
2026-06-05,Elgato 4K Pro,1080p144,Elgato 4K Capture Utility,98,42215,42.215
2026-06-05,Elgato 4K Pro,1080p144,Elgato 4K Capture Utility,99,43151,43.151
2026-06-05,Elgato 4K Pro,1080p144,Elgato 4K Capture Utility,100,44429,44.429
2026-06-05,Elgato 4K X,4K120,"NitLink (Low-Latency, 117 Hz cap)",1,64625,64.625
2026-06-05,Elgato 4K X,4K120,"NitLink (Low-Latency, 117 Hz cap)",2,49740,49.740
2026-06-05,Elgato 4K X,4K120,"NitLink (Low-Latency, 117 Hz cap)",3,41850,41.850
2026-06-05,Elgato 4K X,4K120,"NitLink (Low-Latency, 117 Hz cap)",4,58511,58.511
2026-06-05,Elgato 4K X,4K120,"NitLink (Low-Latency, 117 Hz cap)",5,40794,40.794
2026-06-05,Elgato 4K X,4K120,"NitLink (Low-Latency, 117 Hz cap)",6,52026,52.026
2026-06-05,Elgato 4K X,4K120,"NitLink (Low-Latency, 117 Hz cap)",7,49002,49.002
2026-06-05,Elgato 4K X,4K120,"NitLink (Low-Latency, 117 Hz cap)",8,49607,49.607
2026-06-05,Elgato 4K X,4K120,"NitLink (Low-Latency, 117 Hz cap)",9,47417,47.417
2026-06-05,Elgato 4K X,4K120,"NitLink (Low-Latency, 117 Hz cap)",10,44598,44.598
2026-06-05,Elgato 4K X,4K120,"NitLink (Low-Latency, 117 Hz cap)",11,46836,46.836
2026-06-05,Elgato 4K X,4K120,"NitLink (Low-Latency, 117 Hz cap)",12,44843,44.843
2026-06-05,Elgato 4K X,4K120,"NitLink (Low-Latency, 117 Hz cap)",13,44880,44.880
2026-06-05,Elgato 4K X,4K120,"NitLink (Low-Latency, 117 Hz cap)",14,59238,59.238
2026-06-05,Elgato 4K X,4K120,"NitLink (Low-Latency, 117 Hz cap)",15,47549,47.549
2026-06-05,Elgato 4K X,4K120,"NitLink (Low-Latency, 117 Hz cap)",16,45341,45.341
2026-06-05,Elgato 4K X,4K120,"NitLink (Low-Latency, 117 Hz cap)",17,51731,51.731
2026-06-05,Elgato 4K X,4K120,"NitLink (Low-Latency, 117 Hz cap)",18,51779,51.779
2026-06-05,Elgato 4K X,4K120,"NitLink (Low-Latency, 117 Hz cap)",19,40439,40.439
2026-06-05,Elgato 4K X,4K120,"NitLink (Low-Latency, 117 Hz cap)",20,52536,52.536
2026-06-05,Elgato 4K X,4K120,"NitLink (Low-Latency, 117 Hz cap)",21,44724,44.724
2026-06-05,Elgato 4K X,4K120,"NitLink (Low-Latency, 117 Hz cap)",22,56112,56.112
2026-06-05,Elgato 4K X,4K120,"NitLink (Low-Latency, 117 Hz cap)",23,49398,49.398
2026-06-05,Elgato 4K X,4K120,"NitLink (Low-Latency, 117 Hz cap)",24,47693,47.693
2026-06-05,Elgato 4K X,4K120,"NitLink (Low-Latency, 117 Hz cap)",25,49446,49.446
2026-06-05,Elgato 4K X,4K120,"NitLink (Low-Latency, 117 Hz cap)",26,45270,45.270
2026-06-05,Elgato 4K X,4K120,"NitLink (Low-Latency, 117 Hz cap)",27,53435,53.435
2026-06-05,Elgato 4K X,4K120,"NitLink (Low-Latency, 117 Hz cap)",28,53478,53.478
2026-06-05,Elgato 4K X,4K120,"NitLink (Low-Latency, 117 Hz cap)",29,47910,47.910
2026-06-05,Elgato 4K X,4K120,"NitLink (Low-Latency, 117 Hz cap)",30,45294,45.294
2026-06-05,Elgato 4K X,4K120,"NitLink (Low-Latency, 117 Hz cap)",31,42438,42.438
2026-06-05,Elgato 4K X,4K120,"NitLink (Low-Latency, 117 Hz cap)",32,44364,44.364
2026-06-05,Elgato 4K X,4K120,"NitLink (Low-Latency, 117 Hz cap)",33,49032,49.032
2026-06-05,Elgato 4K X,4K120,"NitLink (Low-Latency, 117 Hz cap)",34,47753,47.753
2026-06-05,Elgato 4K X,4K120,"NitLink (Low-Latency, 117 Hz cap)",35,40980,40.980
2026-06-05,Elgato 4K X,4K120,"NitLink (Low-Latency, 117 Hz cap)",36,47646,47.646
2026-06-05,Elgato 4K X,4K120,"NitLink (Low-Latency, 117 Hz cap)",37,43703,43.703
2026-06-05,Elgato 4K X,4K120,"NitLink (Low-Latency, 117 Hz cap)",38,45959,45.959
2026-06-05,Elgato 4K X,4K120,"NitLink (Low-Latency, 117 Hz cap)",39,47772,47.772
2026-06-05,Elgato 4K X,4K120,"NitLink (Low-Latency, 117 Hz cap)",40,40247,40.247
2026-06-05,Elgato 4K X,4K120,"NitLink (Low-Latency, 117 Hz cap)",41,41226,41.226
2026-06-05,Elgato 4K X,4K120,"NitLink (Low-Latency, 117 Hz cap)",42,53286,53.286
2026-06-05,Elgato 4K X,4K120,"NitLink (Low-Latency, 117 Hz cap)",43,42383,42.383
2026-06-05,Elgato 4K X,4K120,"NitLink (Low-Latency, 117 Hz cap)",44,50027,50.027
2026-06-05,Elgato 4K X,4K120,"NitLink (Low-Latency, 117 Hz cap)",45,42263,42.263
2026-06-05,Elgato 4K X,4K120,"NitLink (Low-Latency, 117 Hz cap)",46,48192,48.192
2026-06-05,Elgato 4K X,4K120,"NitLink (Low-Latency, 117 Hz cap)",47,46590,46.590
2026-06-05,Elgato 4K X,4K120,"NitLink (Low-Latency, 117 Hz cap)",48,62406,62.406
2026-06-05,Elgato 4K X,4K120,"NitLink (Low-Latency, 117 Hz cap)",49,52463,52.463
